Aircraft_ID,Aircraft.Category,Engine.Type,Registration.Number,Number.of.Engines,Make,Model,Aircraft.damage
1,Airplane,Reciprocating,NC6404,1,Stinson,108-3,Destroyed
2,Airplane,Reciprocating,N5069P,1,Piper,PA24-180,Destroyed
3,Airplane,Reciprocating,N5142R,1,Cessna,172M,Destroyed
4,Airplane,Reciprocating,N1168J,1,Rockwell,112,Destroyed
5,Helicopter,,N15NY,,Cessna,501,Destroyed
6,Airplane,Turbo Fan,CF-TLU,2,Mcdonnell Douglas,DC9,Substantial
7,Airplane,Reciprocating,N4988E,1,Cessna,180,Destroyed
8,Airplane,Reciprocating,N2482N,1,Cessna,140,Substantial
9,Airplane,Reciprocating,N7967Q,2,Cessna,401B,Substantial
10,Airplane,Reciprocating,N3906K,1,North American,NAVION L-17B,Substantial
11,Airplane,Reciprocating,N44832,1,Piper,PA-28-161,Substantial
12,Airplane,Reciprocating,N4275S,1,Beech,V35B,Substantial
13,Airplane,Reciprocating,N14779,1,Bellanca,17-30A,Destroyed
14,Airplane,Reciprocating,N758SK,1,Cessna,R172K,Destroyed
15,Airplane,Reciprocating,N4876K,1,Navion,A,Destroyed
16,Airplane,Reciprocating,N9779L,1,Beech,19,Destroyed
17,Helicopter,Reciprocating,N51735,1,Enstrom,280C,Destroyed
18,Airplane,Reciprocating,N7641A,1,Cessna,180,Destroyed
19,Airplane,Reciprocating,N25084,1,Cessna,172,Substantial
20,Helicopter,Reciprocating,N23BS,1,Smith,WCS-222 (BELL 47G),Substantial
21,Airplane,Reciprocating,N68812,1,Cessna,152,Substantial
22,Airplane,Reciprocating,N1549Q,1,Cessna,150L,Substantial
23,Helicopter,Turbo Shaft,N5745Y,1,Bell,206L-1,Substantial
24,Airplane,Reciprocating,N5018P,1,Piper,PA-24-180,Minor
25,Airplane,Reciprocating,N28912,1,Grumman,AA-5B,Destroyed
26,Airplane,Reciprocating,N2620L,2,Cessna,414A,Destroyed
27,Airplane,Reciprocating,N10VS,2,Beechcraft,BE-58,Destroyed
28,Airplane,Reciprocating,N7125D,1,Maule,M-5-235C,Substantial
29,Airplane,Reciprocating,N94252,1,Cessna,210L,Substantial
30,Airplane,Reciprocating,N8630V,1,Bellanca,7GCBC,Substantial
31,Airplane,Reciprocating,N71054,1,Cessna,182,Substantial
32,Airplane,Reciprocating,N23069,1,Air Tractor,AT-301,Substantial
33,Airplane,Reciprocating,N8265A,1,Piper,PA-28-161,Destroyed
34,Airplane,Reciprocating,N1956H,2,Piper,PA-34-200T,Destroyed
35,Airplane,Reciprocating,N2CU,2,Cessna,T337G,Destroyed
36,Airplane,Reciprocating,N32335,1,Piper,PA-28R-200,Substantial
37,Airplane,Reciprocating,N5151U,1,Cessna,206,Destroyed
