Airport_ID	Airport.Code	Airport.Name
1	49G	MANASSAS
2	VNY	BLACKBURN AG STRIP
3	SOP	HANOVER
4	HPN	JACKSONVILLE INTL
5	0A6	TUSKEGEE
6	LRD	HEARNE MUNICIPAL
7	PUW	FIELD RANCH
8	DWH	CHERRY SPRINGS
9	3G9	WILLOW RUN
10	SFF	TINKERBELL
11	PCU	VAN NUYS
12	HSV	HANOVER COUNTY
13	KS30	MOORE COUNTY
14	RKP	WESTCHESTER COUNTY
15	SHV	OAK GROVE
16	X64	ESTANCIA MUNICIPAL
17	39D	ALEXANDER HAMILTON
18	SDF	RAMONA
19	T17	TOMPKINS COUNTY
20	11CA	SPRINGERVILLE
21	TRK	BETHEL
22	M74	DOWNTOWN
23	DED	MAMMOTH LAKES
24	GON	JACKSON HOLE
25	X31	PAXTON MUNICIPAL
26	6R6	CLEARVIEW
27	PHL	LAREDO INTL
28	BNO	W. PASCO
29	SS87	HARRY CLEVER FIELD
30	3S2	PULLMAN-MOSCOW REGIONAL
31	CGI	MITHELL
32	ATS	MOUNT HAWLEY
33	BEH	GRIFFING-SANDUSKY
34	4I7	TWIN LAKES
35	MTO	CALISTOGA
36	CRQ	NAPA
37	Y25	PRIVATE STRIP
38	PHF	DAVID WAYNE HOOKS
39	PYM	DILLINGHAM
40	22G	ROUTT CITY
41	3GV	LOWERY DAVIS
42	MBY	BULLHEAD CITY
43	82J	PALWAUKEE
44	CPS	RIVERTON REGIONAL
45	SJU	COCHETOPA
46	6I2	AUBURN/OPELIKA
47	OPF	CHICAGO O'HARE INTER'L
48	SBP	BENEDUM
49	PTK	ADDISON
50	F82	WASHINGTON NATIONAL
51	Y78	LEA COUNTY HOBBS
52	6K1	GEIGER FIELD
53	BMG	BUTLER ROE
54	F92	TAYLOR FARMS
55	OK42	FELTS
56	U73	JOHN F. KENNEDY INT'L
57	AIT	ANOKA COUNTY
58	AZO5	FRANKLIN COUNTY
59	T74	UNIVERSITY
60	RBD	MOJANE
61	P37	HONOLULU INTL
62	M39	PORT MANSFIELD
63	P19	PICAYUNE-PEARL RIVER CNTY
64	EYW	MERRILL FIELD
65	P16	SWAINS CREEK
66	HAF	CLARK COUNTY
67	GRM	HUNTSVILLE-MADISON COUNTY
68	SBN	MILLS RANCH
69	SQL	STILLWATER MUNICIPAL
70	BDL	ARANSAS COUNTY AIRPORT
71	CFD	ARANSAS COUNTY AIRPORT
72	CBG	SOMERSET COUNTY
73	1V5	MORNINGSTAR
74	SUN	MOJANE
75	X28	SANTA MONICA
76	Z22	SHREVEPORT REGIONAL
77	RLD	KENT COUNTY
78	IDA	MIAMI INTL
79	MOB	TUNTUTULIAK
80	42M	SAN JOSE MUNICIPAL
81	IAH	MCCOMB-PIKE COUNTY
82	WA09	HERNDON
83	TA41	MIDLAND AIRPARK
84	JVY	OPA LOCKA WEST
85	SMD	BAGDAD
