Report_ID,Report.Status,Publication.Date,Injury.Severity,Broad.phase.of.flight,Weather.Condition,Location,Investigation.Type
1,Probable Cause,1/1/1984,Fatal(2),Cruise,UNK,"SUSSEX, NJ",Accident
2,Probable Cause,19-09-1996,Fatal(4),Unknown,UNK,"ANDROS IS, Bahamas",Accident
3,Probable Cause,26-02-2007,Fatal(3),Cruise,IMC,NEAR ST. CROIX,Accident
4,Probable Cause,12/9/2000,Fatal(2),Cruise,IMC,"GRAND HAVEN, MI",Accident
5,Probable Cause,16-04-1980,Fatal(1),Approach,VMC,"WAMSUTTER, WY",Accident
6,Probable Cause,19-09-2017,Non-Fatal,Climb,VMC,"GRAFTON, ND",Accident
7,Probable Cause,6/11/2001,Fatal(4),Unknown,IMC,"YAMHILL, OR",Accident
8,Probable Cause,1/1/1982,Non-Fatal,Takeoff,VMC,"MOOSE CREEK, ID",Accident
9,Probable Cause,1/1/1982,Non-Fatal,Landing,IMC,"BRIDGEPORT, CA",Accident
10,Probable Cause,1/1/1982,Non-Fatal,Cruise,IMC,"Saltville, VA",Accident
11,Probable Cause,1/1/1982,Non-Fatal,Approach,VMC,"EUREKA, CA",Accident
12,Probable Cause,1/1/1982,Non-Fatal,Landing,VMC,"Canton, OH",Accident
13,Probable Cause,2/1/1983,Non-Fatal,Cruise,IMC,"GRAND RAPIDS, MI",Accident
14,Probable Cause,2/1/1983,Fatal(1),Takeoff,IMC,"MIAMI, FL",Accident
15,Probable Cause,2/1/1983,Fatal(1),Cruise,IMC,"TUNTUTULIAK, AK",Accident
16,Probable Cause,2/1/1983,Fatal(2),Cruise,IMC,"SAN JOSE, CA",Incident
17,Probable Cause,2/1/1983,Non-Fatal,Taxi,IMC,"CHERRY VALLEY, CA",Accident
18,Probable Cause,2/1/1983,Fatal(3),Unknown,VMC,"ESCONDIDO, CA",Accident
19,Probable Cause,2/1/1983,Non-Fatal,Taxi,VMC,"MCCOMB, MS",Accident
20,Probable Cause,2/1/1983,Non-Fatal,Cruise,VMC,"ORLANDO, FL",Accident
21,Probable Cause,2/1/1983,Non-Fatal,Takeoff,VMC,"MIDLAND, TX",Accident
22,Probable Cause,2/1/1983,Non-Fatal,Approach,VMC,"BONDURANT, WY",Accident
23,Probable Cause,2/1/1983,Non-Fatal,Approach,VMC,"BOISE, ID",Accident
24,Probable Cause,3/1/1983,Incident,Approach,VMC,"ARTESIA, NM",Accident
25,Probable Cause,3/1/1983,Fatal(2),Descent,IMC,"BENTON HARBOR, MI",Accident
26,Probable Cause,3/1/1983,Fatal(8),Approach,IMC,"CANTON, MI",Accident
27,Probable Cause,3/1/1983,Fatal(1),Approach,IMC,"GREENCASTLE, IN",Accident
28,Probable Cause,3/1/1983,Non-Fatal,Landing,VMC,"SANTA YSABEL, CA",Accident
29,Probable Cause,3/1/1983,Non-Fatal,Descent,VMC,"BROWNSVILLE, KY",Accident
30,Probable Cause,3/1/1983,Non-Fatal,Maneuvering,VMC,"SANDERSON, TX",Accident
31,Probable Cause,3/1/1983,Non-Fatal,Approach,VMC,"LANSING, IL",Accident
32,Probable Cause,3/1/1983,Non-Fatal,Takeoff,VMC,"MATTOON, IL",Accident
33,Probable Cause,4/1/1983,Fatal(4),Cruise,VMC,"PROVIDENCE, RI",Accident
34,Probable Cause,4/1/1983,Fatal(2),Cruise,VMC,"MONONA, IA",Accident
35,Probable Cause,4/1/1983,Fatal(2),Cruise,IMC,"MARCELINE, MO",Accident
36,Probable Cause,4/1/1983,Non-Fatal,Cruise,VMC,"TIPTON, IA",Accident
37,Probable Cause,4/1/1983,Fatal(1),Taxi,VMC,"CATALINA ISLAND, CA",Accident
38,Probable Cause,5/1/1983,Fatal(3),Cruise,IMC,"MILWAUKEE, WI",Accident
39,Probable Cause,5/1/1983,Fatal(1),Cruise,IMC,"MARION, NC",Accident
40,Probable Cause,5/1/1983,Fatal(2),Approach,VMC,"ANCHORAGE, AK",Accident
41,Probable Cause,5/1/1983,Incident,Cruise,VMC,"SUMMERLAND, FL",Accident
42,Probable Cause,5/1/1983,Non-Fatal,Descent,VMC,"HENDERSON, NV",Accident
43,Probable Cause,5/1/1983,Non-Fatal,Cruise,VMC,"BOULDER, CO",Accident
44,Probable Cause,5/1/1983,Non-Fatal,Taxi,VMC,"CRESWELL, OR",Accident
45,Probable Cause,5/1/1983,Non-Fatal,Takeoff,VMC,"WHITE PLAINS, NY",Accident
46,Probable Cause,6/1/1983,Non-Fatal,Approach,VMC,"TILGHMAN ISLAND, MD",Accident
47,Probable Cause,6/1/1983,Non-Fatal,Taxi,VMC,"AVOCA, PA",Accident
48,Probable Cause,6/1/1983,Non-Fatal,Climb,VMC,"BROOKSVILLE, FL",Accident
49,Probable Cause,6/1/1983,Non-Fatal,Approach,VMC,"FARMINGTON, NM",Accident
50,Probable Cause,6/1/1983,Non-Fatal,Takeoff,VMC,"LYDIA, SC",Accident
51,Probable Cause,6/1/1983,Non-Fatal,Cruise,IMC,"MIDLAND, NC",Accident
52,Probable Cause,7/1/1983,Fatal(2),Cruise,VMC,"DES MOINES, IA",Accident
53,Probable Cause,7/1/1983,Non-Fatal,Approach,VMC,"FAIRMONT, MN",Accident
54,Probable Cause,7/1/1983,Non-Fatal,Standing,VMC,"VAN WERT, OH",Accident
55,Probable Cause,8/1/1983,Fatal(1),Approach,IMC,"KENAI, AK",Accident
56,Probable Cause,8/1/1983,Fatal(1),Approach,VMC,"MONTAGUE ISLAND, AK",Accident
57,Probable Cause,8/1/1983,Non-Fatal,Landing,VMC,"TETERSBORO, NJ",Accident
58,Probable Cause,8/1/1983,Non-Fatal,Cruise,VMC,"GOLETA, CA",Accident
59,Probable Cause,8/1/1983,Non-Fatal,Landing,VMC,"MARION, IL",Accident
60,Probable Cause,8/1/1983,Non-Fatal,Takeoff,VMC,"ALCOA, TN",Accident
61,Probable Cause,8/1/1983,Non-Fatal,Landing,VMC,"NEAR KISSIMMEE, FL",Accident
62,Probable Cause,8/1/1983,Non-Fatal,Landing,VMC,"VICTORIA, AR",Accident
63,Probable Cause,9/1/1983,Non-Fatal,Landing,VMC,"SPEARFISH, SD",Accident
64,Probable Cause,9/1/1983,Non-Fatal,Landing,VMC,"HARDIN, MT",Accident
65,Probable Cause,9/1/1983,Non-Fatal,Approach,VMC,"ENDERLIN, ND",Accident
66,Probable Cause,9/1/1983,Non-Fatal,Taxi,VMC,"BLAINE, MN",Accident
67,Probable Cause,9/1/1983,Non-Fatal,Landing,VMC,"MONTGOMERY, AL",Accident
68,Probable Cause,9/1/1983,Non-Fatal,Approach,VMC,"GREENWATER, WA",Accident
69,Probable Cause,10/1/1983,Non-Fatal,Approach,UNK,"LAKEPORT, CA",Accident
70,Probable Cause,10/1/1983,Non-Fatal,Landing,VMC,"STERLING CITY, TX",Accident
71,Probable Cause,10/1/1983,Non-Fatal,Takeoff,IMC,"MIDLAND, TX",Accident
72,Probable Cause,10/1/1983,Fatal(1),Cruise,VMC,"CHICAGO, IL",Accident
73,Probable Cause,10/1/1983,Non-Fatal,Landing,VMC,"QUINCY, IN",Accident
74,Probable Cause,10/1/1983,Non-Fatal,Takeoff,VMC,"STATESVILLE, NC",Accident
75,Probable Cause,10/1/1983,Non-Fatal,Cruise,VMC,"PADUCAH, KY",Accident
76,Probable Cause,11/1/1983,Non-Fatal,Cruise,VMC,"BENSON, MN",Accident
77,Probable Cause,11/1/1983,Fatal(4),Takeoff,IMC,"RAMSEY BAY, AK",Accident
78,Probable Cause,11/1/1983,Non-Fatal,Takeoff,VMC,"SANFORD, ME",Accident
79,Probable Cause,11/1/1983,Non-Fatal,Landing,VMC,"ST. LOUIS, MO",Incident
80,Probable Cause,12/1/1983,Incident,Cruise,UNK,"BIRKENFELD, OR",Accident
81,Probable Cause,12/1/1983,Incident,Taxi,VMC,"PINE BLUFF, AR",Accident
82,Probable Cause,12/1/1983,Non-Fatal,Descent,UNK,"FORT APACHE, AZ",Accident
83,Probable Cause,12/1/1983,Non-Fatal,Descent,IMC,"HOLLY SPRINGS, SC",Accident
84,Probable Cause,13-01-1983,Non-Fatal,Descent,VMC,WEST CAMERON #4,Accident
85,Probable Cause,13-01-1983,Fatal(78),Takeoff,IMC,"ITHACA, NY",Accident
86,Probable Cause,13-01-1983,Non-Fatal,Cruise,VMC,"HUMPHREYS PEAK, AZ",Accident
87,Probable Cause,13-01-1983,Non-Fatal,Takeoff,VMC,"BOYLE, MS",Accident
88,Probable Cause,13-01-1983,Non-Fatal,Approach,IMC,"BEEVILLE, TX",Accident
89,Probable Cause,15-01-1983,Fatal(3),Climb,VMC,"ONTARIO, CA",Accident
90,Probable Cause,15-01-1983,Non-Fatal,Approach,VMC,"JAMUL, CA",Accident
91,Probable Cause,15-01-1983,Non-Fatal,Landing,VMC,"WILDSVILLE, LA",Accident
92,Probable Cause,15-01-1983,Non-Fatal,Taxi,VMC,"LOMA, CO",Accident
93,Probable Cause,15-01-1983,Non-Fatal,Takeoff,VMC,"DILLON, MT",Accident
94,Probable Cause,15-01-1983,Non-Fatal,Takeoff,VMC,"OLD FORGE, NY",Accident
95,Probable Cause,15-01-1983,Non-Fatal,Landing,VMC,"TOMBALL, TX",Accident
96,Probable Cause,15-01-1983,Non-Fatal,Landing,VMC,"FORT WORTH, TX",Accident
97,Probable Cause,16-01-1983,Fatal(1),Cruise,IMC,"STOCKTON, CA",Accident
98,Probable Cause,16-01-1983,Non-Fatal,Go-around,VMC,"OBERLIN, KS",Accident
99,Probable Cause,17-01-1983,Fatal(1),Takeoff,IMC,"ST. AUGUSTINE, FL",Accident
100,Probable Cause,17-01-1983,Fatal(1),Maneuvering,VMC,"SAN ANTONIO, TX",Accident
101,Probable Cause,17-01-1983,Non-Fatal,Other,VMC,"WESTMINSTER, MD",Accident
102,Probable Cause,17-01-1983,Non-Fatal,Takeoff,VMC,"38 SE BARROW, AK",Accident
103,Probable Cause,17-01-1983,Fatal(1),Approach,VMC,"SPRINGDALE, WA",Accident
104,Probable Cause,17-01-1983,Non-Fatal,Maneuvering,VMC,"NEWBURG, PA",Accident
105,Probable Cause,17-01-1983,Fatal(2),Takeoff,VMC,"MILLINOCKET, ME",Accident
106,Probable Cause,17-01-1983,Non-Fatal,Takeoff,VMC,"CONWAY SPRINGS, KS",Accident
107,Probable Cause,17-01-1983,Non-Fatal,Maneuvering,VMC,"MURRIETA, CA",Accident
108,Probable Cause,17-01-1983,Non-Fatal,Landing,VMC,"FRANKLIN, WI",Accident
109,Probable Cause,17-01-1983,Non-Fatal,Maneuvering,VMC,"STOCKTON, MO",Accident
110,Probable Cause,18-01-1983,Non-Fatal,Descent,VMC,"TONOPAH, NV",Accident
111,Probable Cause,18-01-1983,Fatal(1),Cruise,IMC,"NORTH LITTLE RO, AR",Accident
112,Probable Cause,18-01-1983,Fatal(3),Cruise,IMC,"STANFORD, TX",Accident
113,Probable Cause,18-01-1983,Non-Fatal,Takeoff,VMC,"LABARGE, WY",Accident
114,Probable Cause,18-01-1983,Fatal(4),Approach,IMC,"PONTIAC, IL",Accident
115,Probable Cause,19-01-1983,Fatal(1),Takeoff,VMC,"NEAR WINTER PAR, CO",Incident
116,Probable Cause,19-01-1983,Fatal(2),Maneuvering,IMC,"ASHLAND, KY",Accident
117,Probable Cause,19-01-1983,Fatal(1),Cruise,UNK,"NEOSHO, MO",Accident
118,Probable Cause,19-01-1983,Fatal(3),Approach,IMC,"HANSELL, IA",Accident
119,Probable Cause,19-01-1983,Fatal(3),Approach,IMC,"NEW HAVEN, IL",Accident
120,Probable Cause,19-01-1983,Incident,Descent,IMC,"MARION, IL",Accident
121,Probable Cause,19-01-1983,Non-Fatal,Takeoff,VMC,"BISHOPVILLE, SC",Accident
122,Probable Cause,19-01-1983,Non-Fatal,Cruise,VMC,"MANLEY HOT SPRI, AK",Accident
123,Probable Cause,19-01-1983,Non-Fatal,Cruise,VMC,"EL PASO, TX",Accident
124,Probable Cause,19-01-1983,Non-Fatal,Climb,VMC,"WAHPETON, ND",Accident
125,Probable Cause,19-01-1983,Non-Fatal,Climb,VMC,"AGAWAM, MA",Accident
126,Probable Cause,19-01-1983,Non-Fatal,Landing,VMC,"WEST BRATTLEBOR, VT",Accident
