fact_table_natural_key (txn_id) 	accm_txn_complete_time
1	5/21/2022 18:06
2	5/25/2022 7:43
3	5/21/2022 13:38
4	5/23/2022 3:34
5	5/25/2022 1:21
6	5/19/2022 20:17
7	5/23/2022 15:19
8	5/16/2022 20:42
9	5/19/2022 22:05
10	5/25/2022 0:35
11	5/21/2022 15:19
12	5/21/2022 13:08
13	5/16/2022 12:16
14	5/22/2022 3:22
15	5/23/2022 4:28
16	5/17/2022 5:01
17	5/17/2022 1:08
18	5/17/2022 10:19
19	5/24/2022 7:40
20	5/24/2022 23:25
21	5/20/2022 22:05
22	5/22/2022 19:27
23	5/17/2022 12:41
24	5/23/2022 23:13
25	5/17/2022 12:15
26	5/17/2022 11:45
27	5/23/2022 23:52
28	5/20/2022 3:36
29	5/22/2022 18:16
30	5/20/2022 13:29
31	5/18/2022 13:36
32	5/17/2022 14:27
33	5/24/2022 6:14
34	5/18/2022 2:59
35	5/18/2022 5:48
36	5/22/2022 9:16
37	5/18/2022 10:27
38	5/19/2022 7:07
39	5/20/2022 17:52
40	5/21/2022 3:34
41	5/24/2022 5:49
42	5/18/2022 16:30
43	5/21/2022 21:10
44	5/23/2022 12:16
45	5/19/2022 8:42
46	5/17/2022 22:21
47	5/22/2022 21:34
48	5/24/2022 19:32
49	5/19/2022 2:34
50	5/19/2022 15:29
51	5/20/2022 13:10
52	5/17/2022 3:51
53	5/17/2022 20:55
54	5/20/2022 13:32
55	5/22/2022 10:37
56	5/23/2022 7:11
57	5/21/2022 23:02
58	5/25/2022 1:03
59	5/23/2022 1:47
60	5/18/2022 0:56
61	5/19/2022 9:39
62	5/22/2022 13:39
63	5/19/2022 19:54
64	5/24/2022 12:44
65	5/24/2022 16:11
66	5/24/2022 14:34
67	5/23/2022 16:40
68	5/25/2022 2:57
69	5/20/2022 14:51
70	5/25/2022 3:46
71	5/25/2022 2:22
72	5/23/2022 22:56
73	5/18/2022 16:34
74	5/22/2022 21:38
75	5/18/2022 7:35
76	5/20/2022 15:59
77	5/24/2022 19:39
78	5/18/2022 9:19
79	5/22/2022 5:41
80	5/19/2022 16:25
81	5/23/2022 18:36
82	5/18/2022 4:08
83	5/22/2022 17:12
84	5/23/2022 21:30
85	5/17/2022 22:25
86	5/17/2022 23:51
87	5/25/2022 3:11
88	5/21/2022 19:58
89	5/22/2022 1:48
90	5/18/2022 2:19
91	5/22/2022 20:47
92	5/20/2022 14:29
93	5/17/2022 12:05
94	5/22/2022 17:01
95	5/17/2022 5:49
96	5/17/2022 13:10
97	5/23/2022 1:52
98	5/18/2022 9:00
99	5/19/2022 14:11
100	5/20/2022 10:19
101	5/22/2022 18:08
102	5/23/2022 11:04
103	5/19/2022 21:44
104	5/19/2022 17:34
105	5/23/2022 14:08
106	5/17/2022 22:01
107	5/23/2022 2:25
108	5/18/2022 8:40
109	5/18/2022 7:18
110	5/18/2022 6:41
111	5/23/2022 11:08
112	5/23/2022 11:26
113	5/20/2022 0:52
114	5/22/2022 10:22
115	5/21/2022 11:59
116	5/17/2022 10:15
117	5/19/2022 15:10
118	5/18/2022 22:22
119	5/19/2022 4:16
120	5/18/2022 11:53
121	5/20/2022 6:51
122	5/21/2022 1:09
123	5/19/2022 8:18
124	5/23/2022 9:50
125	5/18/2022 22:12
126	5/20/2022 14:16
127	5/18/2022 1:42
128	5/22/2022 3:23
129	5/25/2022 8:23
130	5/20/2022 6:45
131	5/16/2022 15:40
132	5/20/2022 4:26
133	5/23/2022 5:44
134	5/20/2022 15:07
135	5/24/2022 17:40
136	5/18/2022 14:02
137	5/16/2022 16:43
138	5/24/2022 22:14
139	5/17/2022 22:49
